DATE,HPI,Income,GDP,UR,TBill,Mort
1/1/01,139.91,29584,43558,3.7,0,7.03
2/1/01,139.91,29584,43558,3.5,0,7.05
3/1/01,139.91,29584,43558,3.6,0,6.95
4/1/01,142.91,29584,43558,3.6,0,7.08
5/1/01,142.91,29584,43558,3.6,0,7.15
6/1/01,142.91,29584,43558,4.1,0,7.16
7/1/01,144.65,29584,43558,4.1,3.67,7.13
8/1/01,144.65,29584,43558,4.4,3.53,6.95
9/1/01,144.65,29584,43558,4.3,2.68,6.82
10/1/01,147.98,29584,43558,5.3,2.27,6.62
11/1/01,147.98,29584,43558,5.5,1.99,6.66
12/1/01,147.98,29584,43558,5.4,1.72,7.07
1/1/02,149.90,29884,43946,5.8,1.68,7
2/1/02,149.90,29884,43946,5.5,1.74,6.89
3/1/02,149.90,29884,43946,5.4,1.79,7.01
4/1/02,154.29,29884,43946,5.3,1.72,6.99
5/1/02,154.29,29884,43946,5.3,1.74,6.81
6/1/02,154.29,29884,43946,5.9,1.72,6.65
7/1/02,157.07,29884,43946,5.8,1.72,6.49
8/1/02,157.07,29884,43946,5.5,1.68,6.29
9/1/02,157.07,29884,43946,5.2,1.67,6.09
10/1/02,160.18,29884,43946,5.1,1.62,6.11
11/1/02,160.18,29884,43946,5.2,1.26,6.07
12/1/02,160.18,29884,43946,5.0,1.2,6.05
1/1/03,162.57,29968,45740,5.4,1.17,5.92
2/1/03,162.57,29968,45740,5.1,1.2,5.84
3/1/03,162.57,29968,45740,5.0,1.18,5.75
4/1/03,165.39,29968,45740,4.9,1.16,5.81
5/1/03,165.39,29968,45740,5.0,1.08,5.48
6/1/03,165.39,29968,45740,5.9,0.97,5.23
7/1/03,168.48,29968,45740,5.7,0.9,5.63
8/1/03,168.48,29968,45740,5.4,0.95,6.26
9/1/03,168.48,29968,45740,5.3,0.91,6.15
10/1/03,175.27,29968,45740,4.9,0.91,5.95
11/1/03,175.27,29968,45740,5.0,0.94,5.93
12/1/03,175.27,29968,45740,4.6,0.89,5.88
1/1/04,179.34,30151,46438,5.1,0.85,5.71
2/1/04,179.34,30151,46438,4.8,0.92,5.64
3/1/04,179.34,30151,46438,4.9,0.96,5.45
4/1/04,184.78,30151,46438,4.6,0.91,5.83
5/1/04,184.78,30151,46438,4.7,0.91,6.27
6/1/04,184.78,30151,46438,5.4,1.05,6.29
7/1/04,193.60,30151,46438,5.3,1.19,6.06
8/1/04,193.60,30151,46438,4.9,1.37,5.87
9/1/04,193.60,30151,46438,4.6,1.55,5.75
10/1/04,200.50,30151,46438,4.5,1.63,5.72
11/1/04,200.50,30151,46438,4.5,1.92,5.73
12/1/04,200.50,30151,46438,4.2,1.96,5.75
1/1/05,207.15,30851,47640,4.4,2.05,5.71
2/1/05,207.15,30851,47640,4.2,2.36,5.63
3/1/05,207.15,30851,47640,3.8,2.65,5.93
4/1/05,219.74,30851,47640,3.6,2.64,5.86
5/1/05,219.74,30851,47640,3.6,2.65,5.72
6/1/05,219.74,30851,47640,4.1,2.83,5.58
7/1/05,231.47,30851,47640,4.1,3.1,5.7
8/1/05,231.47,30851,47640,3.7,3.34,5.82
9/1/05,231.47,30851,47640,3.6,3.23,5.77
10/1/05,239.78,30851,47640,3.4,3.51,6.07
11/1/05,239.78,30851,47640,3.5,3.91,6.33
12/1/05,239.78,30851,47640,3.0,3.69,6.27
1/1/06,250.82,30374,49056,3.2,4.12,6.15
2/1/06,250.82,30374,49056,3.1,4.38,6.25
3/1/06,250.82,30374,49056,2.9,4.55,6.32
4/1/06,257.99,30374,49056,2.9,4.61,6.51
5/1/06,257.99,30374,49056,3.0,4.7,6.6
6/1/06,257.99,30374,49056,3.6,4.71,6.68
7/1/06,262.99,30374,49056,3.9,4.9,6.76
8/1/06,262.99,30374,49056,3.6,5.16,6.52
9/1/06,262.99,30374,49056,3.4,4.77,6.4
10/1/06,267.82,30374,49056,3.2,4.97,6.36
11/1/06,267.82,30374,49056,3.4,5.21,6.24
12/1/06,267.82,30374,49056,3.3,4.87,6.14
1/1/07,267.57,31392,48124,3.8,4.94,6.22
2/1/07,267.57,31392,48124,3.5,5.18,6.29
3/1/07,267.57,31392,48124,3.3,5.21,6.16
4/1/07,268.63,31392,48124,3.3,4.99,6.18
5/1/07,268.63,31392,48124,3.4,4.82,6.26
6/1/07,268.63,31392,48124,4.2,4.52,6.66
7/1/07,264.22,31392,48124,4.4,4.82,6.7
8/1/07,264.22,31392,48124,4.3,4.2,6.57
9/1/07,264.22,31392,48124,4.1,3.78,6.38
10/1/07,258.92,31392,48124,4.1,3.81,6.38
