DATE,HPI,TBill,Mort
1/1/2001,110.88,0,7.03
2/1/2001,111.32,0,7.05
3/1/2001,112.98,0,6.95
4/1/2001,114.12,0,7.08
5/1/2001,115.31,0,7.15
6/1/2001,116.47,0,7.16
7/1/2001,117.36,3.67,7.13
8/1/2001,118.67,3.53,6.95
9/1/2001,119.51,2.68,6.82
10/1/2001,120.16,2.27,6.62
11/1/2001,120.48,1.99,6.66
12/1/2001,120.65,1.72,7.07
1/1/2002,121.45,1.68,7
2/1/2002,122.26,1.74,6.89
3/1/2002,124.12,1.79,7.01
4/1/2002,126.23,1.72,6.99
5/1/2002,128.73,1.74,6.81
6/1/2002,131.59,1.72,6.65
7/1/2002,133.97,1.72,6.49
8/1/2002,136.59,1.68,6.29
9/1/2002,138.62,1.67,6.09
10/1/2002,140.76,1.62,6.11
11/1/2002,142.07,1.26,6.07
12/1/2002,143.26,1.2,6.05
1/1/2003,144.27,1.17,5.92
2/1/2003,145.3,1.2,5.84
3/1/2003,147.23,1.18,5.75
4/1/2003,149.65,1.16,5.81
5/1/2003,152.27,1.08,5.48
6/1/2003,154.98,0.97,5.23
7/1/2003,158.34,0.9,5.63
8/1/2003,161.89,0.95,6.26
9/1/2003,165.29,0.91,6.15
10/1/2003,168.4,0.91,5.95
11/1/2003,171.11,0.94,5.93
12/1/2003,173.98,0.89,5.88
1/1/2004,177.01,0.85,5.71
2/1/2004,180.49,0.92,5.64
3/1/2004,186.55,0.96,5.45
4/1/2004,193.22,0.91,5.83
5/1/2004,199.58,0.91,6.27
6/1/2004,206.38,1.05,6.29
7/1/2004,211.08,1.19,6.06
8/1/2004,213.49,1.37,5.87
9/1/2004,215.08,1.55,5.75
10/1/2004,215.74,1.63,5.72
11/1/2004,216.58,1.92,5.73
12/1/2004,217.34,1.96,5.75
1/1/2005,219.41,2.05,5.71
2/1/2005,222.29,2.36,5.63
3/1/2005,226.75,2.65,5.93
4/1/2005,231.59,2.64,5.86
5/1/2005,236.68,2.65,5.72
6/1/2005,241.7,2.83,5.58
7/1/2005,246.37,3.1,5.7
8/1/2005,251.1,3.34,5.82
9/1/2005,255.85,3.23,5.77
10/1/2005,260.16,3.51,6.07
11/1/2005,262.56,3.91,6.33
12/1/2005,264.77,3.69,6.27
1/1/2006,265.92,4.12,6.15
2/1/2006,267.75,4.38,6.25
3/1/2006,268.23,4.55,6.32
