DATE,HPI,Income,GDP,UR,TBill,Mort
1/1/2001,112.94,42006,61229,4.6,0,7.03
2/1/2001,114.25,42006,61229,4.5,0,7.05
3/1/2001,115.31,42006,61229,4.3,0,6.95
4/1/2001,116.37,42006,61229,4,0,7.08
5/1/2001,116.98,42006,61229,4,0,7.15
6/1/2001,118.08,42006,61229,4.4,0,7.16
7/1/2001,119.22,42006,61229,4.7,3.67,7.13
8/1/2001,120.59,42006,61229,5,3.53,6.95
9/1/2001,121.98,42006,61229,5,2.68,6.82
10/1/2001,123.09,42006,61229,5.4,2.27,6.62
11/1/2001,124.4,42006,61229,5.7,1.99,6.66
12/1/2001,124.57,42006,61229,5.8,1.72,7.07
1/1/2002,125.38,42043,60917,6.7,1.68,7
2/1/2002,126.1,42043,60917,6.7,1.74,6.89
3/1/2002,127.32,42043,60917,6.6,1.79,7.01
4/1/2002,128.69,42043,60917,6.3,1.72,6.99
5/1/2002,130.49,42043,60917,6.1,1.74,6.81
6/1/2002,132.5,42043,60917,6.3,1.72,6.65
7/1/2002,134.85,42043,60917,6.5,1.72,6.49
8/1/2002,137,42043,60917,6.1,1.68,6.29
9/1/2002,138.83,42043,60917,6,1.67,6.09
10/1/2002,140.8,42043,60917,6.2,1.62,6.11
11/1/2002,142.84,42043,60917,6.4,1.26,6.07
12/1/2002,144.91,42043,60917,6.4,1.2,6.05
1/1/2003,146.64,42704,61018,7.1,1.17,5.92
2/1/2003,147.94,42704,61018,6.9,1.2,5.84
3/1/2003,149.22,42704,61018,6.6,1.18,5.75
4/1/2003,150.34,42704,61018,6.3,1.16,5.81
5/1/2003,151.49,42704,61018,6.3,1.08,5.48
6/1/2003,152.25,42704,61018,6.7,0.97,5.23
7/1/2003,153.29,42704,61018,6.8,0.9,5.63
8/1/2003,154.49,42704,61018,6.5,0.95,6.26
9/1/2003,156.36,42704,61018,6.5,0.91,6.15
10/1/2003,157.98,42704,61018,6.3,0.91,5.95
11/1/2003,160.01,42704,61018,6.2,0.94,5.93
12/1/2003,161.89,42704,61018,5.9,0.89,5.88
1/1/2004,163.64,44735,62720,6.8,0.85,5.71
2/1/2004,165.45,44735,62720,6.5,0.92,5.64
3/1/2004,167.48,44735,62720,6.4,0.96,5.45
4/1/2004,169.15,44735,62720,5.7,0.91,5.83
5/1/2004,171.14,44735,62720,5.5,0.91,6.27
6/1/2004,173.35,44735,62720,5.8,1.05,6.29
7/1/2004,175.65,44735,62720,5.9,1.19,6.06
8/1/2004,177.28,44735,62720,5.3,1.37,5.87
9/1/2004,179.12,44735,62720,5.1,1.55,5.75
10/1/2004,181.12,44735,62720,5,1.63,5.72
11/1/2004,182.93,44735,62720,4.9,1.92,5.73
12/1/2004,184.6,44735,62720,4.8,1.96,5.75
1/1/2005,187.17,46792,65318,5.3,2.05,5.71
2/1/2005,189.79,46792,65318,5.4,2.36,5.63
3/1/2005,193.19,46792,65318,4.9,2.65,5.93
4/1/2005,195.19,46792,65318,4.5,2.64,5.86
5/1/2005,196.73,46792,65318,4.6,2.65,5.72
6/1/2005,198.2,46792,65318,4.7,2.83,5.58
7/1/2005,199.81,46792,65318,5.1,3.1,5.7
8/1/2005,201.5,46792,65318,4.6,3.34,5.82
9/1/2005,204.08,46792,65318,5,3.23,5.77
10/1/2005,206.68,46792,65318,4.8,3.51,6.07
11/1/2005,209.32,46792,65318,5.1,3.91,6.33
12/1/2005,212.05,46792,65318,4.7,3.69,6.27
1/1/2006,213.5,50403,67249,5,4.12,6.15
2/1/2006,215.05,50403,67249,5.2,4.38,6.25
3/1/2006,215.72,50403,67249,4.9,4.55,6.32
4/1/2006,216.49,50403,67249,4.7,4.61,6.51
5/1/2006,216.61,50403,67249,4.5,4.7,6.6
6/1/2006,216.19,50403,67249,4.6,4.71,6.68
7/1/2006,215.05,50403,67249,5,4.9,6.76
8/1/2006,213.09,50403,67249,4.5,5.16,6.52
9/1/2006,213.03,50403,67249,4.3,4.77,6.4
10/1/2006,213.02,50403,67249,3.9,4.97,6.36
11/1/2006,213.15,50403,67249,4,5.21,6.24
12/1/2006,213.25,50403,67249,3.9,4.87,6.14
1/1/2007,212.9,53718,68073,4.7,4.94,6.22
2/1/2007,213.3,53718,68073,4.6,5.18,6.29
3/1/2007,214.25,53718,68073,4.2,5.21,6.16
4/1/2007,213.68,53718,68073,4.1,4.99,6.18
5/1/2007,211.87,53718,68073,4.1,4.82,6.26
6/1/2007,209.7,53718,68073,4.4,4.52,6.66
7/1/2007,207.78,53718,68073,4.9,4.82,6.7
8/1/2007,205.36,53718,68073,4.5,4.2,6.57
9/1/2007,204.87,53718,68073,4.4,3.78,6.38
10/1/2007,203.95,53718,68073,4.3,3.81,6.38
11/1/2007,203.29,53718,68073,4.2,3.68,6.21
12/1/2007,201.71,53718,68073,4.5,2.86,6.1
1/1/2008,200.8,54537,65711,5.1,2.74,5.76
2/1/2008,199.43,54537,65711,5.1,2.27,5.92
3/1/2008,198.83,54537,65711,4.9,1.35,5.97
4/1/2008,197.23,54537,65711,4.3,1.07,5.92
5/1/2008,195.83,54537,65711,4.8,1.76,6.04
6/1/2008,194.83,54537,65711,5,1.72,6.32
7/1/2008,192.57,54537,65711,5.5,1.6,6.43
8/1/2008,191.06,54537,65711,5.5,1.68,6.48
9/1/2008,189.65,54537,65711,5.5,0.89,6.04
10/1/2008,187.8,54537,65711,5.6,0.29,6.2
11/1/2008,185.5,54537,65711,5.8,0.09,6.09
12/1/2008,183.31,54537,65711,6.4,0.03,5.29
1/1/2009,181.57,52243,65564,7.6,0.05,5.05
2/1/2009,179.33,52243,65564,8.2,0.22,5.13
3/1/2009,176.21,52243,65564,8.3,0.1,5
4/1/2009,173.44,52243,65564,7.9,0.1,4.81
5/1/2009,172.86,52243,65564,8.3,0.14,4.86
6/1/2009,172.24,52243,65564,8.8,0.1,5.42
7/1/2009,172.3,52243,65564,9.1,0.15,5.22
8/1/2009,172.3,52243,65564,9,0.12,5.19
9/1/2009,172.41,52243,65564,9.1,0.06,5.06
10/1/2009,172.38,52243,65564,9.1,0.04,4.95
11/1/2009,171.76,52243,65564,8.9,0.05,4.88
12/1/2009,171.96,52243,65564,9,0.03,4.93
1/1/2010,172.35,53359,67441,9.7,0.02,5.03
2/1/2010,172.43,53359,67441,9.6,0.06,4.99
3/1/2010,172.3,53359,67441,9.4,0.12,4.97
4/1/2010,172,53359,67441,8.8,0.15,5.1
5/1/2010,172.28,53359,67441,8.6,0.15,4.89
6/1/2010,172.55,53359,67441,8.7,0.08,4.74
7/1/2010,172.84,53359,67441,9.1,0.16,4.56
8/1/2010,171.85,53359,67441,8.8,0.15,4.43
9/1/2010,171.58,53359,67441,8.6,0.12,4.35
10/1/2010,169.28,53359,67441,8.5,0.14,4.23
11/1/2010,168.77,53359,67441,8.6,0.13,4.3
12/1/2010,168.3,53359,67441,8.4,0.09,4.71
1/1/2011,167.18,56233,67115,9.1,0.14,4.76
2/1/2011,166.6,56233,67115,9,0.11,4.95
3/1/2011,165.57,56233,67115,8.5,0.06,4.84
4/1/2011,167.15,56233,67115,8.1,0.03,4.84
5/1/2011,166.84,56233,67115,8.2,0.02,4.64
6/1/2011,166.28,56233,67115,8.6,0.02,4.51
7/1/2011,167.05,56233,67115,8.9,0.04,4.55
8/1/2011,166.67,56233,67115,8.6,0.02,4.27
9/1/2011,166.92,56233,67115,8.6,0.01,4.11
10/1/2011,165.13,56233,67115,8.6,0.01,4.07
11/1/2011,164.3,56233,67115,8.4,0.01,3.99
12/1/2011,162.97,56233,67115,8.5,0,3.96
1/1/2012,162.1,59274,68678,9.2,0.02,3.92
2/1/2012,161.13,59274,68678,9.3,0.06,3.89
3/1/2012,160.64,59274,68678,8.9,0.06,3.95
4/1/2012,161.03,59274,68678,8.4,0.07,3.91
5/1/2012,161.74,59274,68678,8.7,0.07,3.8
6/1/2012,162.56,59274,68678,9,0.05,3.68
7/1/2012,162.57,59274,68678,9.3,0.07,3.55
8/1/2012,162.9,59274,68678,8.8,0.09,3.6
9/1/2012,163.28,59274,68678,8.3,0.08,3.5
10/1/2012,163.08,59274,68678,8.3,0.11,3.38
11/1/2012,162.48,59274,68678,8.2,0.12,3.35
12/1/2012,162.69,59274,68678,8.3,0.04,3.35
1/1/2013,162.8,59871,68474,9.1,0.05,3.41
2/1/2013,163.8,59871,68474,8.7,0.08,3.53
3/1/2013,163.45,59871,68474,8.1,0.08,3.57
4/1/2013,164.9,59871,68474,7.6,0.05,3.45
5/1/2013,166.07,59871,68474,7.8,0.02,3.54
6/1/2013,167.06,59871,68474,8.2,0.03,4.07
7/1/2013,167.82,59871,68474,8.2,0.02,4.37
8/1/2013,168.82,59871,68474,7.9,0.04,4.46
9/1/2013,170.18,59871,68474,7.7,0.02,4.49
10/1/2013,171.32,59871,68474,7.6,0.11,4.19
11/1/2013,172.47,59871,68474,7.1,0.05,4.26
12/1/2013,172.83,59871,68474,6.7,0.02,4.46
1/1/2014,173.59,62086,69398,7.3,0.02,4.43
2/1/2014,173.67,62086,69398,7.5,0.05,4.3
3/1/2014,173.81,62086,69398,7.1,0.05,4.34
4/1/2014,173.52,62086,69398,6.1,0.02,4.34
5/1/2014,173.59,62086,69398,6.4,0.03,4.19
6/1/2014,174.11,62086,69398,6.4,0.02,4.16
7/1/2014,174.46,62086,69398,6.8,0.02,4.13
8/1/2014,174.57,62086,69398,6.4,0.03,4.12
9/1/2014,174.46,62086,69398,6,0.01,4.16
10/1/2014,174.63,62086,69398,5.9,0.02,4.04
11/1/2014,174.65,62086,69398,5.9,0.04,4
12/1/2014,175.63,62086,69398,5.6,0.03,3.86
1/1/2015,176.28,64679,70249,6.4,0.02,3.67
2/1/2015,177.09,64679,70249,6.3,0.02,3.71
3/1/2015,177.37,64679,70249,5.8,0.02,3.77
4/1/2015,178.06,64679,70249,5.3,0.02,3.67
5/1/2015,178.41,64679,70249,5.5,0.01,3.84
6/1/2015,178.49,64679,70249,5.4,0.01,3.98
7/1/2015,178.35,64679,70249,5.6,0.03,4.05
8/1/2015,178.51,64679,70249,5.1,0.04,3.91
9/1/2015,178.61,64679,70249,4.8,0.01,3.89
10/1/2015,179.35,64679,70249,4.7,0.01,3.8
11/1/2015,180.38,64679,70249,4.7,0.07,3.94
12/1/2015,180.67,64679,70249,4.5,0.17,3.96
1/1/2016,180.86,65846,70758,5.1,0.23,3.87
2/1/2016,181.31,65846,70758,5.2,0.26,3.66
3/1/2016,182.47,65846,70758,5,0.25,3.69
4/1/2016,182.76,65846,70758,4.6,0.19,3.61
5/1/2016,182.47,65846,70758,4.5,0.23,3.6
6/1/2016,182.45,65846,70758,4.8,0.22,3.57
7/1/2016,182.4,65846,70758,5.2,0.26,3.44
8/1/2016,182.65,65846,70758,5,0.26,3.44
9/1/2016,182.61,65846,70758,4.9,0.19,3.46
10/1/2016,183.28,65846,70758,4.7,0.24,3.47
11/1/2016,185.15,65846,70758,4.3,0.3,3.77
12/1/2016,186.24,65846,70758,4.2,0.42,4.2
1/1/2017,187.57,0,0,4.6,0.5,4.15
2/1/2017,188.4,0,0,4.7,0.48,4.17
3/1/2017,190.38,0,0,4.1,0.66,4.2
4/1/2017,190.55,0,0,3.9,0.75,4.05
5/1/2017,190.38,0,0,4.1,0.73,4.01
6/1/2017,189.49,0,0,4.3,0.84,3.9
7/1/2017,189.47,0,0,4.7,0.97,3.97
8/1/2017,190.32,0,0,4.8,0.98,3.88
9/1/2017,192.07,0,0,4.7,0.99,3.81
